epoch,train_loss,val_loss,best_val_loss,lr,time_s
1,1.0995,0.8876,0.8876,1.00e-03,285
2,0.8450,0.8141,0.8141,9.98e-04,237
3,0.7925,0.7675,0.7675,9.96e-04,237
4,0.7607,0.7516,0.7516,9.91e-04,242
5,0.7438,0.7320,0.7320,9.86e-04,242
6,0.7281,0.7345,0.7320,9.79e-04,248
7,0.7182,0.7319,0.7319,9.71e-04,236
8,0.7078,0.7114,0.7114,9.61e-04,236
9,0.7006,0.7123,0.7114,9.50e-04,242
10,0.6914,0.7131,0.7114,9.38e-04,242
11,0.6846,0.7090,0.7090,9.25e-04,236
12,0.6789,0.6944,0.6944,9.11e-04,240
13,0.6740,0.6913,0.6913,8.95e-04,238
14,0.6699,0.6885,0.6885,8.78e-04,233
15,0.6656,0.6866,0.6866,8.60e-04,232
16,0.6605,0.6760,0.6760,8.42e-04,238
17,0.6567,0.7057,0.6760,8.22e-04,239
18,0.6535,0.6826,0.6760,8.01e-04,237
19,0.6494,0.6789,0.6760,7.80e-04,237
20,0.6469,0.6685,0.6685,7.58e-04,236
21,0.6423,0.6711,0.6685,7.35e-04,241
22,0.6387,0.6702,0.6685,7.11e-04,238
23,0.6361,0.6718,0.6685,6.87e-04,237
24,0.6335,0.6719,0.6685,6.62e-04,238
25,0.6307,0.6695,0.6685,6.37e-04,240
26,0.6279,0.6679,0.6679,6.11e-04,242
27,0.6243,0.6666,0.6666,5.85e-04,239
28,0.6223,0.6673,0.6666,5.59e-04,244
29,0.6193,0.6640,0.6640,5.33e-04,242
30,0.6162,0.6618,0.6618,5.07e-04,237
31,0.6132,0.6580,0.6580,4.80e-04,238
32,0.6129,0.6614,0.6580,4.54e-04,238
33,0.6094,0.6630,0.6580,4.28e-04,239
34,0.6084,0.6645,0.6580,4.02e-04,238
35,0.6053,0.6564,0.6564,3.76e-04,237
36,0.6038,0.6617,0.6564,3.51e-04,242
37,0.6013,0.6590,0.6564,3.26e-04,241
38,0.5977,0.6566,0.6564,3.01e-04,236
39,0.5964,0.6617,0.6564,2.77e-04,236
40,0.5960,0.6584,0.6564,2.54e-04,234
41,0.5949,0.6576,0.6564,2.31e-04,236
42,0.5917,0.6575,0.6564,2.09e-04,233
43,0.5901,0.6572,0.6564,1.88e-04,233
44,0.5903,0.6567,0.6564,1.68e-04,233
45,0.5879,0.6561,0.6561,1.49e-04,233
46,0.5867,0.6568,0.6561,1.31e-04,233
47,0.5858,0.6570,0.6561,1.13e-04,237
48,0.5836,0.6564,0.6561,9.71e-05,236
49,0.5827,0.6576,0.6561,8.20e-05,236
50,0.5821,0.6560,0.6560,6.81e-05,239
51,0.5837,0.6581,0.6560,5.54e-05,243
52,0.5799,0.6565,0.6560,4.40e-05,241
53,0.5776,0.6573,0.6560,3.38e-05,237
54,0.5790,0.6567,0.6560,2.49e-05,237
55,0.5778,0.6565,0.6560,1.73e-05,237
56,0.5771,0.6566,0.6560,1.11e-05,237
57,0.5778,0.6565,0.6560,6.27e-06,237
58,0.5777,0.6572,0.6560,2.79e-06,237
59,0.5785,0.6570,0.6560,7.00e-07,237
60,0.5776,0.6567,0.6560,4.29e-12,237
